Sentence,Emotion
1. Kal raat party bahut mast thi sab friends nach rahe the.,Positive
2. Mere bina coffee piye mera din adhoora sa lagta hai.,Neutral
3. Aaj boss ne mujhe extra kaam diya ab toh frustration ho raha hai.,Negative
4. Shopping ke liye mall chalte hain wahaan sab kuch mil jayega.,Positive
5. Main aaj office nahi jaunga mood nahi hai kaam karne ka.,Negative
6. Haan main bhi aaj dinner ke liye taiyar hoon.,Positive
7. Weekend pe movie dekhne chalein koi suggest karo.,Positive
8. Yeh pizza wala place bahut famous hai aaj try karte hain.,Positive
9. Traffic mein phas gaya ab toh late ho jayenge.,Negative
10. Aaj weather bahut accha hai picnic plan karte hain.,Positive
